id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Summer Static,Coastal Drift,pop,happy,0.79,122,0.88,0.85,0.14
12,Ember Skies,Atlas Folk,folk,nostalgic,0.38,96,0.74,0.52,0.91
13,Bass Drop Kingdom,Hardline,edm,intense,0.97,140,0.55,0.94,0.03
14,Neon Corridor,Synthex,synthwave,moody,0.72,115,0.43,0.76,0.19
15,Sunday Morning Brew,Slow Stereo,jazz,relaxed,0.33,84,0.78,0.48,0.93
16,Mountain Echo,Terra Blue,folk,nostalgic,0.44,100,0.70,0.55,0.88
17,Gravity Pull,Voltline,rock,intense,0.88,148,0.42,0.69,0.08
18,Cloud Hopper,Orbit Bloom,ambient,chill,0.25,58,0.68,0.38,0.95
